Account Name,NIP*
Wypełnienie formularza - Aug. 12, 2025 9:54AM,
FUNDACJA ROZWOJU INTERIM MANAGEMENT'U,5862364754
EMITEL,5272703675
HR PARTNER,5272612079
STAROSTWO POWIATOWE W BIŁGORAJU,9181714445
GO4ENERGY,7010355458
DINO,6211766191
Wypełnienie formularza - Aug. 07, 2025 12:33PM,
REMEDIUM,
Thaumatec,8971798051
ATHENA INVESTMENTS DOM MAKLERSKI S.A.W U,9512232712
HUBRUNI FUNDACJA RODZINNA,9512626167
CLEARSULTING,
HTWR SP. Z O.O.SPÓŁK,8971869124
WYTWÓRNIA OKUĆ MEBLOWYCH,8741778381
SEGAFREDO ZANETTI POLAND,8681746560
SŁONECZNA PRZYSTAŃ,4990351461
COFFEE PROMOTION,5811918013
PÓŁNOCNA GRUPA NARZĘDZIOWA,7411845027
PROGRES HR POLAND,6040100389
SAVANGARD,5732522479
CPF POLAND,5322067834
PACIFICO ENERGY,
EVORKSHOP.COM,5214098097
UNITY CARE,5253000091
PRIME HUNTERS,1132147539
PGE PALIWA,6751019150
NUTRICIA POLSKA SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALN,8241000856
BITGLIDE,1133093656
WROCŁAW HERMANOWSKA,
LUBELSKI FORNIR,9211331566
PSE INWESTYCJE,5261027348
GUSTI LEDER FULFILLMENT POLAND,8522610345
BOLIX,5262685697
LUNDBERG TECH POLSKA,5252981980
SZKOŁA GŁÓWNA HANDLOWA,
MOVELLO, 8971941703
SPORTS GROUP POLAND, 5252982873
EAST WAVE BUILDING,5221084357
NOWA ERA,5271374376
QAIR POLSKA,5272575036
POLSKIE RATOWNICTWO OKRĘTOWE,5860104397
IPW Fundacja Rodzinna,
FUNDACJA FAIRTRADE POLSKA,6762469537
KAROLLA,8672257614
QWAY GROUP,8882308795
FUNDACJA ROZWOJU KARDIOCHIRURGII IM. PROFESORA ZBI,6481029255
ZIOŁOMED,8133925132
FUNDACJA W KLIMACIE,7011135569
VANTIVE,5273056479
INDEPENDENT TRADER HOLDING,8883159825
HEINEKEN GLOBAL SHARED SERVICES,6762449925
BFF POLSKA,9471800271
K2P,1132864896
MIRAI FUNDACJA RODZINNA,9522268522
TTL 1,5252549900
World Geospatial Industry Council,
ORLEN WIND 3,5252854661
FOURKITES,
Plante Moran,
Some KSW,1050000652
AGRAVES,7811864407
Vigosystems,
DR. MIELE COSMED GROUP,
Grupa Genevia,
ZAKŁADY FARMACEUTYCZNE „POLPHARMA”,
Shroenherr,
INTER IKEA CENTRE POLSKA,
AIRSLATE POLAND,5252884320
ALFA INVESTMENTS,8711776791
BEC Financial Technologies,1070040790
ARC CONSULTING GROUP,6772288754
CENTROZŁOM WROCŁAW,8960001712
BIT PEAK,5252742732
CONSULT RED POLAND,8971814844
FABRITY,9511983801
MĄDRE KLOCKI,1132977169
MIQUIDO,9452138173
MAK INVESTMENTS,5252495162
POLSKIE FABRYKI PORCELANY ĆMIELÓW I CHODZIEŻ,7640001526
WOODEN BOY KRZYSZTOF RUTKOWSKI, 9462200873
DREWPLAC - MARIAN KĘPYS,9372627987
MAKSYMILIAN SZUŁCIK 4S,5961762297
MATEUSZ SURMIAK MADE OF WOOD GROUP,5521594217
MIWOBUD,5262556617
NOTUS FINANSE,5252286547
WHITE OWL SOWA I WSPÓLNICY,1133128225
POLIMPORT, 1132724994
IZBA ROZLICZENIOWA GIEŁD TOWAROWYCH,5252441634
Wypełnienie formularza - May. 21, 2025 11:43AM,
INFERMEDICA,8971782877
FUNDACJA WRÓBLÓW FUNDACJA RODZINNA,
Leitner Leitner HU,
CKS INWESTYCJE,5252623329
CYBER-EYE SECURITY,
MICHAŁ MICHALSKI,
Bergerat Monnoyeur,
MAZOWIAN HOLDINGS,US32056651006
SCIURUS FUNDACJA RODZINNA,5214101089
IMLITEX POLSKA,1132934409
EMERGE SOFT,5252713570
SPORT INDEX POLAND,9562382879
RD DIGITAL NETWORK POLAND,7011237459
FORANO,5252982057
CROMA-PHARMA GMBH,
Asgard,
ITP,5252360060
AZETS Finland,
Svalner Atlas Finland,
Sorainen,
Krogerus,
CFP ENERGY,
DECERTO,9512191870
Hans Muhlenbrock,
KONRAD KOPYRA,
ESJ FINANCIAL EGINEERING,
WAMAR CWALINA ŚWIDERSKI,
EVER CLEANING,1182143041
WĘGLOKOKS STAL SP. Z O.O.,9691192968
WĘGLOKOKS ENERGIA ZCP SP. Z O.O.,6411006444
WĘGLOKOKS ENERGIA NSE SP. Z O.O.,6461347265
WĘGLO SMYK SP. Z O.O. SP. K.,6412532011
WEWORK POLAND SP. Z O.O.,5272824918
WESTINVEST GESELLSCHAFT FÜR INVESTMENTFONDS MBH ODDZIAŁ,
WESTINGHOUSE ELECTRIC POLAND SP. Z O.O.,6793214904
WERBAU WEREMA SP. K.,7811857815
WENTWORTH TECH SP. Z O.O.,9671123881
WENINGER SP. Z O.O.,6472587748
WENDRE POLAND SP. Z O.O.,5272518506
WELLA POLAND SP. Z O.O.,5242791574
WELDON SP. Z O.O.,8722167676
WEKTOR SP. Z O.O.,5470050073
WEBASTO PETEMAR SP. Z O.O.,1180741938
WC SERWIS POLSKA SP. Z O.O.,6482730408
WB TANK SP. Z O.O.,8421761290
WĄTARSKI SP. Z O.O.,8881869161
WAWEL SERVICE SP. Z O.O.,6772007583
WATKEM SP. Z O.O.,8133194036
WASBRUK SP. Z O.O.,5242365593
WARWIN S.A.,7970000369
WARTER POLYMERS SP. Z O.O.,7743221328
WARSZAWSKIE PRZEDSIĘBIORSTWO MOSTOWE MOSTY,5732848821
WARSZAWSKIE CENTRUM OPIEKI MEDYCZNEJ KOPERNIK SP. Z O.O.,5252095155
WARSZAWSKI SZPITAL POŁUDNIOWY SP. Z O.O.,5252491419
WARSZAWSKA SPÓŁDZIELNIA HANDLOWA FALA,5250005455
WARSZAWSKA KOLEJ DOJAZDOWA SP. Z O.O.,5291628093
WARSZAWA LOGISTICS SP. Z O.O.,7010521253
WARSZADIS SP. Z O.O.,5272166622
WARSAW SPIRE TOWER SP. Z O.O.,5223083698
WARO SP. Z O.O.,5471936152
WARNER MUSIC POLAND SP. Z O.O.,5221017237
WARNER BROS. ENTERTAINMENT POLSKA SP. Z O.O.,1180047103
WARMIŃSKO-MAZURSKIE CENTRUM CHORÓB PŁUC W OLSZTYNIE,7392954808
WANZL SP. Z O.O.,1230033009
WAN S.A.,5271252012
WALTER SCHMIDT CEMENT POLSKA SP. Z O.O.,6191738150
WALSTEAD STARACHOWICE SP. Z O.O.,6570232242
WALLSTEIN ROTHEMÜHLE SP. Z O.O.,5213276467
WALKI,5272677937
WALA SP. Z O.O.,9372179431
WAJNERT MEBLE SP. Z O.O.,9112006047
WAGON SERVICE OSTRÓDA SP. Z O.O.,7412110670
W13 REIT SP. Z O.O.,1231277251
W.Z.EUROCOPERT SP. Z O.O.,6730007667
W.P.I.P. - MARDOM SP. Z O.O.,7792431758
W.KROM SP. Z O.O. SP. K.,1251648584
W.EG POLSKA SP. Z O.O.,8943073330
W.A.M. SP. Z O.O.,9542743682
VWR INTERNATIONAL SP. Z O.O.,5832705185
VTS PLANT SP. Z O.O.,8441766497
VREESPOL SP. Z O.O.,6671001811
V-PROJECT S.A.,7010517263
VOYAGER GROUP SP. Z O.O.,9720313476
VOLTRIM TRADE SP. Z O.O.,5833066221
VOLTAR SYSTEM SP. Z O.O.,2220858855
VOLT POLSKA SP. Z O.O.,5851458032
VOLKSWAGEN GROUP SERVICES SP. Z O.O.,7831752108
VOIT POLSKA SP. Z O.O.,9252032725
VOG POLSKA SP. Z O.O.,9510046336
PRZEDSIĘBIORSTWO ROLNE RUSKO SP. Z O.O.,6171227883
VOESTALPINE FASTENING SYSTEMS SP. Z O.O.,7642634997
PRZEDSIĘBIORSTWO ROBÓT WODNYCH I EKOLOGICZNYCH EKO - WOD SP. Z O.O.,8841006531
VODENO SP. Z O.O.,5223122470
PRZEDSIĘBIORSTWO ROBÓT MONTAŻOWO-INWESTYCYJNYCH PROMONTIN SP. Z O.O.,9591882892
VOBRO SP. Z O.O. SP. K.,8741790809
PRZEDSIĘBIORSTWO ROBÓT DROGOWYCH SP. Z O.O.,5372142153
V-MOTORS SP. Z O.O.,8992351177
VML ENTERPRISE SOLUTIONS,7811767696
PRZEDSIĘBIORSTWO ROBÓT DROGOWYCH S.A.,8281255114
VLASSENROOT POLSKA SP. Z O.O.,6762329428
PRZEDSIĘBIORSTWO ROBÓT DROGOWYCH INODROG SP. Z O.O.,5560003976
VIVO! POLAND SP. Z O.O.,6793070150
PRZEDSIĘBIORSTWO ROBÓT DROGOWO-MOSTOWYCH SP. Z O.O. W JAŚLE,6851949581
VIVA PACKAGING POLAND SP. Z O.O.,8371813807
PRZEDSIĘBIORSTWO ROBÓT DROGOWO-MOSTOWYCH S.A.,6661004943
VIVA INWESTYCJE SP. Z O.O.,9691604974
PRZEDSIĘBIORSTWO ROBÓT DROGOWO - MOSTOWYCH TRAKT SP. Z O.O.,7221296043
VITROFLORA GRUPA PRODUCENTÓW SP. Z O.O.,5542684776
PRZEDSIĘBIORSTWO REMONTÓW ULIC I MOSTÓW S.A.,6312271918
VITERRA SILOS SP. Z O.O.,9570999896
PRZEDSIĘBIORSTWO REMONTOWO-PRODUKCYJNE ZK-REM SP. Z O.O.,7491771525
VITERRA BODACZÓW SP. Z O.O.,5632078401
PRZEDSIĘBIORSTWO PRZEWOZOWE PODKARPACKIEJ KOMUNIKACJI SAMOCHODOWEJ SP. Z O.O.,8133189957
VITEA SP. Z O.O.,6343015412
PRZEDSIĘBIORSTWO PRZEMYSŁU MIĘSNEGO TAURUS SP. Z O.O.,8722137882
VITALAIRE SP. Z O.O.,7790017233
PRZEDSIĘBIORSTWO PRODUKCYJNO-USŁUGOWO-HANDLOWE POLMEX SP. Z O.O.,7340007192
VITAL SP. Z O.O.,8792673870
PRZEDSIĘBIORSTWO PRODUKCYJNO-USŁUGOWO-HANDLOWE KOCOŃ, SP.J.KOCOŃ KRZYSZTOF, KOCOŃ JAKUB,5532220087
VITA SP. Z O.O.,6842487276
PRZEDSIĘBIORSTWO PRODUKCYJNO-USŁUGOWO-HANDLOWE INT,8770002447
VITA - FRUIT SP. Z O.O.,8132899906
PRZEDSIĘBIORSTWO PRODUKCYJNO-USŁUGOWE POMEL SP. Z O.O.,7620002209
PRZEDSIĘBIORSTWO PRODUKCYJNO-USŁUGOWE PLASTIMET SP. Z O.O.,8480000115
VISTRA CORPORATE SERVICES SP. Z O.O.,5262750383
VISTA CONSTRUCTIONS SP. Z O.O.,6760077193
PRZEDSIĘBIORSTWO PRODUKCYJNO-USŁUGOWE NORDTECHNIK,5850001477
PRZEDSIĘBIORSTWO PRODUKCYJNO-HANDLOWO-USŁUGOWE IZOLMET SP. Z O.O.W ZAWONI,9150006575
VISOTEC SP. Z O.O.,5272500044
VISA EUROPE MANAGEMENT SERVICES LIMITED () ODDZIAŁ W POLSCE,1070033502
PRZEDSIĘBIORSTWO PRODUKCYJNO-HANDLOWO-USŁUGOWE DIMEX SP. Z O.O.,6340130532
VIRTUS LAB SP. Z O.O.,5170312965
PRZEDSIĘBIORSTWO PRODUKCYJNO-HANDLOWO-USŁUGOWE ART-HEN SP.J.H I A ZDRZAŁEK,6391006316
VIRIDIAN POLSKA SP. Z O.O.,5212983607
PRZEDSIĘBIORSTWO PRODUKCYJNO-HANDLOWE INDYK- MAZUR,9571030708
VIPHARM S.A.,5252055150
PRZEDSIĘBIORSTWO PRODUKCYJNO-HANDLOWE GRALBET SP. Z O.O.,5710002778
PRZEDSIĘBIORSTWO PRODUKCYJNO-HANDLOWE DEXPOL S.A.,8980015189
VIP CAR SP. Z O.O.,7542432283
PRZEDSIĘBIORSTWO PRODUKCYJNO-HANDLOWE DANKROS SP. Z O.O.,6890001053
VINDEREN SP. Z O.O.,5213246408
PRZEDSIĘBIORSTWO PRODUKCYJNO USŁUGOWO HANDLOWE EKO-ENERGIA SP. Z O.O.,6782781166
VIMN POLAND SP. Z O.O.,9511990066
PRZEDSIĘBIORSTWO PRODUKCYJNO USŁUGOWO HANDLOWE RADKOM SP. Z O.O.,7960069804
VIDOK SP. Z O.O.,8131086710
PRZEDSIĘBIORSTWO PRODUKCYJNO HANDLOWO - USŁUGOWE POLIPACK SP.J.,5880000407
VIDIS S.A.,8992522420
PRZEDSIĘBIORSTWO PRODUKCYJNO HANDLOWE TARKOR SP. Z O.O.,6551979520
VICTORY PRECISION TECHNOLOGY POLSKA SP. Z O.O.,5993164004
PRZEDSIĘBIORSTWO PRODUKCYJNO HANDLOWE KOMPAP,7250007981
VICTORIA SP. Z O.O. SP. K.,7790041326
PRZEDSIĘBIORSTWO PRODUKCYJNO - USŁUGOWO - HANDLOWE KOMBINAT BUDOWLANY SP. Z O.O.,5420303589
VICTORIA CYMES SP. Z O.O.,7651590153
PRZEDSIĘBIORSTWO PRODUKCYJNO - USŁUGOWO - HANDLOWE FACTUM SP. Z O.O.,5540315968
VICIM POLAND SP. Z O.O.,8792561237
PRZEDSIĘBIORSTWO PRODUKCYJNO - HANDLOWO - USŁUGOWE AS SP. Z O.O.,8441867643
VICI POLSKA SP. Z O.O.,5252491431
PRZEDSIĘBIORSTWO PRODUKCYJNO - HANDLOWE ABET SP. Z O.O.,8980018650
VIATRIS HEALTHCARE SP. Z O.O.,5252593019
VÍAS Y CONSTRUCCIONES S.A. () - ODDZIAŁ W POLSCE,1080010891
PRZEDSIĘBIORSTWO PRODUKCYJNE USŁUGOWO-HANDLOWE PROSPER SP. Z O.O.,7410003757
VIACON POLSKA SP. Z O.O.,6972207217
PRZEDSIĘBIORSTWO PRODUKCYJNE HANDLOWO USŁUGOWE GOM,8361617878
VIA CARGO S.A.,5262821769
PRZEDSIĘBIORSTWO PRODUKCJI KRUSZYWA I USŁUG GEOLOGICZNYCH KRUSZGEO S.A.,8130009860
VG-ORTH POLSKA SP. Z O.O.,6321722088
PRZEDSIĘBIORSTWO OBROTU I FABRYKACJI ARTYKUŁÓW MEDYCZNYCH POFAM-POZNAŃ SP. Z O.O.,7770021013
VETREX SP. Z O.O.,5931881525
PRZEDSIĘBIORSTWO MODERNIZACJI OBIEKTÓW PRZEMYSŁOWYCH CEMA S.A.,7541021796
VETOQUINOL BIOWET SP. Z O.O.,5990108560
PRZEDSIĘBIORSTWO KOMUNIKACJI SAMOCHODOWEJ W SZCZECINIE SP. Z O.O.,9552007068
VET PLANET SP. Z O.O.,5272581427
PRZEDSIĘBIORSTWO KOMUNIKACJI SAMOCHODOWEJ S.A.,9281737316
VESUVIUS SP. Z O.O.,9452228404
PRZEDSIĘBIORSTWO KOMUNIKACJI MIEJSKIEJ SP. Z O.O.,6442521816
VESTEL POLSKA TECHNOLOGY CENTER SP. Z O.O.,8971719376
PRZEDSIĘBIORSTWO KOMUNIKACJI MIEJSKIEJ KATOWICE SP. Z O.O.,6342272762
VESTA POLSKA SP. Z O.O. W LIKWIDACJI,5342408474
VERTIV POLAND SP. Z O.O.,5213066818
PRZEDSIĘBIORSTWO INŻYNIERYJNE IMB-PODBESKIDZIE SP.,5480009066
VERPA FOLIE - WROCŁAW SP. Z O.O.,9131456834
PRZEDSIĘBIORSTWO INŻYNIERII ŚRODOWISKA EKOWODROL SP. Z O.O.,6690500171
VERONI SP. Z O.O.,8781805285
PRZEDSIĘBIORSTWO HANDLU ZAGRANICZNEGO KALCHEM SP. Z O.O.,8741750394
VERITA HR POLSKA SP. Z O.O.,9512279576
PRZEDSIĘBIORSTWO HANDLOWO-USŁUGOWO-PRODUKCYJNE,5740007071
PRZEDSIĘBIORSTWO HANDLOWO-USŁUGOWE REMETEX ANDRZEJ LUDWIKOWSKI BOGUMIŁA LUDWIKOWSKA SP.J.,8821896444
VEOLIA PÓŁNOC SP. Z O.O.,7430004205
PRZEDSIĘBIORSTWO HANDLOWO-USŁUGOWE WAMEX SP. Z O.O.,8730005557
VEOLIA EKOZEC SP. Z O.O.,7821015503
PRZEDSIĘBIORSTWO HANDLOWO-USŁUGOWE PARTNER ADAM,8220007209
VENUS COMMODITIES SP. Z O.O.,1080013777
VENTURE INDUSTRIES SP. Z O.O.,1180018998
PRZEDSIĘBIORSTWO HANDLOWO-USŁUGOWE EKOTRANS SP. Z O.O.,7712922952
VEKTRA B.M.W. KASZUBA SP. J.,5830141092
PRZEDSIĘBIORSTWO HANDLOWO-USŁUGOWE AGROPOL SP. Z O.O.,7481544265
VECTOR SYNERGY SP. Z O.O.,7811857270
PRZEDSIĘBIORSTWO HANDLOWO-TRANSPORTOWE TRACOM SP. Z O.O.,7420001033
PRZEDSIĘBIORSTWO HANDLOWO-TRANSPORTOWE BESPOL SP. Z O.O.,8762147042
VECTOR SP. Z O.O.,5840152246
PRZEDSIĘBIORSTWO HANDLOWO-PRODUKCYJNO-USŁUGOWE I OBROTU SUROWCAMI WTÓRNYMI KAROL AGNIESZKA LIGĘZA, JACEK LIGĘZA - SP.J.,8390007786
VCK LIS SP. J.,6182164442
VCENTRUM GRUPA S.A.,5211010943
PRZEDSIĘBIORSTWO HANDLOWO-PRODUKCYJNO-USŁUGOWE SEMEX,5730208661
PRZEDSIĘBIORSTWO HANDLOWO-PRODUKCYJNE ROLSERWIS,7740004990
VAVALACT SP. Z O.O.,7010932298
VASCO ELECTRONICS GÓRALSKI GROUP S.K.A.,6772369151
PRZEDSIĘBIORSTWO HANDLOWO-PRODUKCYJNE BAGIETKA SP. Z O.O.,5550005778
PRZEDSIĘBIORSTWO HANDLOWO USŁUGOWE MARES SP. Z O.O.,8882734948
VARIMED SP. Z O.O.,8990202964
PRZEDSIĘBIORSTWO HANDLOWO USŁUGOWE EURO-TRANS SP. Z O.O.,9521914279
VARIAN MEDICAL SYSTEMS POLAND SP. Z O.O.,5252659511
SPZOZ WARSZAWA,5270003560
PRZEDSIĘBIORSTWO HANDLOWO USŁUGOWE BROKER SP. Z O.O.,5922264632
VANDEMOORTELE EUROPE NV (S.A.) ODDZIAŁ W POLSCE,1050003343
SPZOZ W SIEDLCACH,8212056050
VAN LEEUWEN DISTRIBUTION POLAND SP. Z O.O.,6431000522
PRZEDSIĘBIORSTWO HANDLOWO USŁUGOWE VENUS M.ZYGA SP.J.,7971798369
SPZOZ W RADZYNIU,5381594311
VAN HUET GLASTRANSPORT POLSKA SP. Z O.O.,7542698992
PRZEDSIĘBIORSTWO HANDLOWO USŁUGOWE ROXY D.PISZCZEK, E.PISZCZEK SP.J.,9691170984
SPZOZ W PRZEWORSKU,7941527016
VAN HEYGHEN STAL POLSKA SP. Z O.O.,1070013385
PRZEDSIĘBIORSTWO HANDLOWO USŁUGOWE HEMIST HENRYK KONSTANTY, MIROSŁAW ZYCH, STANISŁAW KONSTANTY SP.J.,8691827107
SPZOZ W ŁUKOWIE,8251711719
VALVOLINE POLAND SP. Z O.O.,5222354178
PRZEDSIĘBIORSTWO HANDLOWO - USŁUGOWE MIK PIOSIK SP.J.,7881856353
SPZOZ W ŁĘCZNEJ,7132393684
PRZEDSIĘBIORSTWO HANDLOWO - USŁUGOWE LUBINPEX SP. Z O.O.,6920000616
VALMONT POLSKA SP. Z O.O.,8211000739
SPZOZ W LUBARTOWIE,7141632875
PRZEDSIĘBIORSTWO HANDLOWO - USŁUGOWE JUBILER SP. Z O.O.,5261032125
VALLOR S.A.,8792693631
SPZOZ W HAJNÓWCE,5431771354
PRZEDSIĘBIORSTWO HANDLOWE MARS HALINA I WOJCIECH,6140102471
VALDI MW1 SP. Z O.O. SP. K.,9930671437
SPZOZ W BOCHNI,8681604021
PRZEDSIĘBIORSTWO HANDLOWE GALICJA MTM ŚCIANEK SP.J.,7341015319
VADERSTAD SP. Z O.O.,9551672852
PRZEDSIĘBIORSTWO HANDLOWE AGRO-TERS EDWARD SOLAK I STANISŁAW SOLAK SP.J.,5630001110
SPZOZ STACJA,9570731538
SPZOZ OPOLSKIE,7542557814
PRZEDSIĘBIORSTWO HANDLOWE AGROMA W POZNANIU,7820076023
PRZEDSIĘBIORSTWO GÓRNICZO-PRODUKCYJNE BAZALT W WILKOWIE,6941613241
SPZOZ MINISTERSTWA,8522198181
VACAT SP. Z O.O.,6421011895
PRZEDSIĘBIORSTWO GOSPODARKI KOMUNALNEJ SP. Z O.O.,6690505783
UZDROWISKO BUSKO-ZDRÓJ S.A.,6550000238
SPYROSOFT SOLUTIONS S.A.,8992842857
PRZEDSIĘBIORSTWO FARMACEUTYCZNE APEXIM S.A.,8961171623
USTRONIANKA SP. Z O.O.,5482247628
SPYRA PRIME SP. Z O.O.,6350009571
PRZEDSIĘBIORSTWO FABRYKA MASZYN LEŻAJSK SP. Z O.O.,7732472593
SPUTNIK DOORS T. PASTWA S.K.A.,5922287165
USŁUGI DLA GÓRNICTWA SP. Z O.O.,5732844303
PRZEDSIĘBIORSTWO ENERGETYKI CIEPLNEJ SP. Z O.O.,6461015439
USEME SP. Z O.O.,8992744965
SPRINT LOGISTYKA POLSKA S.A.SP. K.,8512841994
PRZEDSIĘBIORSTWO ENERGETYKI CIEPLNEJ LEGIONOWO SP. Z O.O.,5360012640
SPRINGOS SP. Z O.O. SP. K.,6832099822
US PHARMACIA SP. Z O.O.,8991432896
PRZEDSIĘBIORSTWO DROGOWO-BUDOWLANE KEMY SP. Z O.O.,7272528115
URANPRES SPOL.S.R.O. SP. Z O.O. ODDZIAŁ W POLSCE,2050005874
SPÓŁKA CIEPŁOWNICZO-ENERGETYCZNA JAWORZNO III SP. Z O.O.,6320000068
PRZEDSIĘBIORSTWO DROGOWO MOSTOWE MAKSBUD SP. Z O.O,5430201086
SPÓŁDZIELNIA SPOŻYWCÓW MOKPOL,5250004757
UPS SCS (POLSKA) SP. Z O.O.,5221620703
PRZEDSIĘBIORSTWO DROGOWO - MOSTOWE S.A.,8441806162
SPÓŁDZIELNIA POLSKIE GRUPY MLECZNE,6692524477
UPS GLOBAL BUSINESS SERVICES POLSKA SP. Z O.O.,8982208277
PRZEDSIĘBIORSTWO DROGOWE KONTRAKT SP. Z O.O.,9261508162
PRZEDSIĘBIORSTWO BUDOWY PIECÓW PRZEMYSŁOWYCH PIEC-BUD WROCŁAW - SP. Z O.O.W LIKWIDACJI,8990203024
SPÓŁDZIELNIA MLECZARSKA UDZIAŁOWCÓW,6670003995
UPONOR INFRA SP. Z O.O.,5260202826
PRZEDSIĘBIORSTWO BUDOWY DRÓG I MOSTÓW ERBEDIM SP. Z O.O.,7712202407
SPÓŁDZIELNIA MLECZARSKA BIELUCH W CHEŁMIE,5630000464
UPM-KYMMENE SP. Z O.O.,5261173475
PRZEDSIĘBIORSTWO BUDOWNICTWA OGÓLNEGO I ZAGOSPODAROWANIA TERENÓW ZIELONYCH BUDROX SP. Z O.O.,7750001473
SPÓŁDZIELNIA MIESZKANIOWADĄB,8520407568
UPL POLSKA SP. Z O.O.,5251001703
PRZEDSIĘBIORSTWO BUDOWNICTWA OGÓLNEGO KARTEL S.A.,6560000091
SPÓŁDZIELNIA MIESZKANIOWA WROCŁAW-POŁUDNIE,8961000577
UNOPOL SP. Z O.O.,7792273153
PRZEDSIĘBIORSTWO BUDOWNICTWA KOMUNIKACYJNEGO SP. Z O.O.,7181685820
SPÓŁDZIELNIA MIESZKANIOWA WOLA,5250006638
UNIWERSYTECKI SZPITAL KLINICZNY W OLSZTYNIE,7393696739
SPÓŁDZIELNIA MIESZKANIOWA WSPÓLNY DOM W SZCZECINIE,8510205610
PRZEDSIĘBIORSTWO BUDOWNICTWA DROGOWEGO W KALISZU,6181418538
UNIWERSYTECKI DZIECIĘCY SZPITAL KLINICZNY IM. L. ZAMENHOFA W BIAŁYMSTOKU,5422534063
SPÓŁDZIELNIA MIESZKANIOWA TEOFILÓW W ŁODZI,7240003987
UNIVIO S.A.,8942649070
PRZEDSIĘBIORSTWO BUDOWNICTWA DROGOWEGO SP. Z O.O.,6931939082
SPÓŁDZIELNIA MIESZKANIOWA RODZINA KOLEJOWA W BIAŁYMSTOKU,5420207590
UNIVERSAL-STAL SP. Z O.O.,9542199623
PRZEDSIĘBIORSTWO BUDOWLANO-MELIORACYJNE TOLOS PIOTR WALCZAK I WSPÓLNICY SP.K.,6511543851
SPÓŁDZIELNIA MIESZKANIOWA ORLIK-JANTAR,1132633010
UNIVERSAL SCIENTIFIC INDUSTRIAL POLAND SP. Z O.O.,8961436398
PRZEDSIĘBIORSTWO BUDOWLANO - PRODUKCYJNE ŁĘGPRZEM SP. Z O.O.,6780103120
SPÓŁDZIELNIA MIESZKANIOWA NOWA,6331009392
UNIVERSAL LEAF TOBACCO POLAND SP. Z O.O.,5212363371
PRZEDSIĘBIORSTWO BUDOWLANE STRUS SP. Z O.O.,9512415565
UNIVERSAL FIBERS EUROPE SP. Z O.O.,5252714500
SPÓŁDZIELNIA MIESZKANIOWA NADODRZE W GŁOGOWIE,6930009145
PRZEDSIĘBIORSTWO BUDOWLANE ARKOP SP. Z O.O. SP.K.,8970016046
UNIVAR SOLUTIONS SP. Z O.O.,5270103959
SPÓŁDZIELNIA MIESZKANIOWA LOKATOR,6290012226
PRZEDSIĘBIORSTWO BUDOWLANE CALBUD SP. Z O.O.,8510109272
UNITUBE SP. Z O.O.,6312365950
